"Story","Title","Result","Date","Stability","Duration (s)"
"Get Pet","Send a Request to get Pet details with an existing id","SUCCESS","2024-05-31T01:33:11.1439744-03:00[America/Buenos_Aires]","0.0","1.99"
"Get Pet","Send a Request to get Pet details with a non existing id","SUCCESS","2024-05-31T01:33:13.1501669-03:00[America/Buenos_Aires]","0.0","0.03"
"Get Pet","[TC-001] Send a Request to get Pet details with an existing id","SUCCESS","2024-05-31T01:37:15.6427629-03:00[America/Buenos_Aires]","0.0","1.84"
"Get Pet","[TC-002] Send a Request to get Pet details with a non existing id","SUCCESS","2024-05-31T01:37:17.4853283-03:00[America/Buenos_Aires]","0.0","0.04"
"Get Pet","[TC-001] Validate that sending a Request to get Pet details with an existing id works","SUCCESS","2024-05-31T01:40:52.6344018-03:00[America/Buenos_Aires]","0.0","1.88"
"Get Pet","[TC-002] Validate that send a Request to get Pet details with a non existing id errors","SUCCESS","2024-05-31T01:40:54.5260605-03:00[America/Buenos_Aires]","0.0","0.03"
"Create Pet","Send a Request to create a Pet with valid data","SUCCESS","2024-05-31T01:33:13.1839736-03:00[America/Buenos_Aires]","0.0","0.19"
"Create Pet","Send a Request to create a Pet with invalid data","SUCCESS","2024-05-31T01:33:13.3813363-03:00[America/Buenos_Aires]","0.0","0.05"
"Create Pet","[TC-003] Send a Request to create a Pet with valid data","SUCCESS","2024-05-31T01:37:17.5300358-03:00[America/Buenos_Aires]","0.0","0.19"
"Create Pet","[TC-004] Send a Request to create a Pet with invalid data","SUCCESS","2024-05-31T01:37:17.72695-03:00[America/Buenos_Aires]","0.0","0.05"
"Create Pet","[TC-003] Validate that sending a Request to create a Pet with valid data works","SUCCESS","2024-05-31T01:40:54.5599595-03:00[America/Buenos_Aires]","0.0","0.2"
"Create Pet","[TC-004] Validate that sending a Request to create a Pet with invalid data errors","SUCCESS","2024-05-31T01:40:54.763426-03:00[America/Buenos_Aires]","0.0","0.06"
"Delete Order","Send a Request to Delete an order with a valid id","SUCCESS","2024-05-31T01:33:13.439054-03:00[America/Buenos_Aires]","0.0","0.03"
"Delete Order","[TC-005] Send a Request to Delete an order with a valid id","SUCCESS","2024-05-31T01:37:17.7860062-03:00[America/Buenos_Aires]","0.0","0.03"
"Delete Order","[TC-005] Validate that sending a Request to Delete an order with a valid id works","SUCCESS","2024-05-31T01:40:54.8248707-03:00[America/Buenos_Aires]","0.0","0.03"
"Update Pet","Send a Request to update a Pet with valid data","SUCCESS","2024-05-31T01:33:13.4691831-03:00[America/Buenos_Aires]","0.0","0.05"
"Update Pet","Send a Request to update a Pet with invalid data","SUCCESS","2024-05-31T01:33:13.5223285-03:00[America/Buenos_Aires]","0.0","0.04"
"Update Pet","[TC-006]Send a Request to update a Pet with valid data","SUCCESS","2024-05-31T01:37:17.8148828-03:00[America/Buenos_Aires]","0.0","0.04"
"Update Pet","[TC-007]Send a Request to update a Pet with invalid data","SUCCESS","2024-05-31T01:37:17.8593751-03:00[America/Buenos_Aires]","0.0","0.03"
"Update Pet","[TC-006] Validate that sending a Request to update a Pet with valid data works","SUCCESS","2024-05-31T01:40:54.857635-03:00[America/Buenos_Aires]","0.0","0.05"
"Update Pet","[TC-007] Validate that sending a Request to update a Pet with invalid data errors","SUCCESS","2024-05-31T01:40:54.9070167-03:00[America/Buenos_Aires]","0.0","0.03"
